RoboCar Sensor Log
Started at: 2025-05-13T13:05:06.230306
================================================================================
[2025-05-13T13:05:06.730422] POS: (0.10, 0.00, 0.0°) | VEL: linear=0.20, angular=0.00 | US: 0.98m | MAG: -0.14 | VIB: NO | ALC: 0.01
[2025-05-13T13:05:07.230442] POS: (0.18, 0.00, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 0.43m | MAG: 0.01 | VIB: NO | ALC: 0.00
[2025-05-13T13:05:07.730441] POS: (0.28, 0.01, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 0.98m | MAG: -0.04 | VIB: NO | ALC: 0.13
[2025-05-13T13:05:08.230422] POS: (0.38, 0.01, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 1.00m | MAG: 0.15 | VIB: NO | ALC: 0.13
[2025-05-13T13:05:08.730444] POS: (0.48, 0.02, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 0.43m | MAG: 0.09 | VIB: NO | ALC: 0.05
[2025-05-13T13:05:09.230372] POS: (0.58, 0.02, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 1.03m | MAG: 0.06 | VIB: NO | ALC: 0.20
[2025-05-13T13:05:09.730502] POS: (0.68, 0.03, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 1.04m | MAG: -0.02 | VIB: NO | ALC: 0.16
[2025-05-13T13:05:10.230368] POS: (0.78, 0.03, 2.9°) | VEL: linear=0.20, angular=0.00 | US: 0.99m | MAG: -0.15 | VIB: NO | ALC: 0.10
[2025-05-13T13:05:10.730438] POS: (0.86, 0.04, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: 0.07 | VIB: NO | ALC: 0.04
[2025-05-13T13:05:11.230400] POS: (0.96, 0.05, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 0.97m | MAG: 0.07 | VIB: NO | ALC: 0.20
[2025-05-13T13:05:11.730452] POS: (1.06, 0.06, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: 0.08 | VIB: NO | ALC: 0.16
[2025-05-13T13:05:12.230511] POS: (1.16, 0.07, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: -0.18 | VIB: NO | ALC: 0.11
[2025-05-13T13:05:12.730538] POS: (1.26, 0.08, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 0.97m | MAG: 0.10 | VIB: NO | ALC: 0.18
[2025-05-13T13:05:13.230371] POS: (1.36, 0.09, 5.7°) | VEL: linear=0.20, angular=0.00 | US: 1.04m | MAG: -0.19 | VIB: NO | ALC: 0.04
[2025-05-13T13:05:13.730376] POS: (1.44, 0.10, 8.6°) | VEL: linear=0.20, angular=0.00 | US: 1.01m | MAG: -0.06 | VIB: NO | ALC: 0.08
[2025-05-13T13:05:14.230373] POS: (1.49, 0.11, 14.3°) | VEL: linear=0.00, angular=0.50 | US: 0.24m | MAG: -0.15 | VIB: NO | ALC: 0.09
[2025-05-13T13:05:14.730730] POS: (1.59, 0.13, 14.3°) | VEL: linear=0.20, angular=0.00 | US: 1.00m | MAG: -0.13 | VIB: YES | ALC: 0.14
[2025-05-13T13:05:15.230422] POS: (1.69, 0.16, 14.3°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: 0.17 | VIB: NO | ALC: 0.12
[2025-05-13T13:05:15.730499] POS: (1.77, 0.18, 17.2°) | VEL: linear=0.20, angular=0.00 | US: 0.96m | MAG: -0.18 | VIB: NO | ALC: 0.06
[2025-05-13T13:05:16.230375] POS: (1.84, 0.20, 20.0°) | VEL: linear=0.20, angular=0.00 | US: 0.97m | MAG: -0.12 | VIB: NO | ALC: 0.06
[2025-05-13T13:05:16.730409] POS: (1.94, 0.24, 20.0°) | VEL: linear=0.20, angular=0.00 | US: 1.03m | MAG: -0.00 | VIB: NO | ALC: 0.14
[2025-05-13T13:05:17.230397] POS: (2.01, 0.27, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 0.98m | MAG: 0.20 | VIB: NO | ALC: 0.07
[2025-05-13T13:05:17.730377] POS: (2.10, 0.31, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 1.05m | MAG: -0.16 | VIB: NO | ALC: 0.08
[2025-05-13T13:05:18.230370] POS: (2.19, 0.35, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 0.95m | MAG: 0.05 | VIB: NO | ALC: 0.05
[2025-05-13T13:05:18.730374] POS: (2.29, 0.39, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 0.39m | MAG: -0.06 | VIB: NO | ALC: 0.17
[2025-05-13T13:05:19.230373] POS: (2.38, 0.42, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 0.99m | MAG: -0.00 | VIB: NO | ALC: 0.15
[2025-05-13T13:05:19.730404] POS: (2.47, 0.46, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: 0.06 | VIB: NO | ALC: 0.14
[2025-05-13T13:05:20.230399] POS: (2.56, 0.50, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 0.98m | MAG: -0.18 | VIB: NO | ALC: 0.09
[2025-05-13T13:05:20.730396] POS: (2.65, 0.54, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 1.01m | MAG: 0.08 | VIB: NO | ALC: 0.09
[2025-05-13T13:05:21.230373] POS: (2.75, 0.58, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 0.96m | MAG: 0.08 | VIB: NO | ALC: 0.13
[2025-05-13T13:05:21.730395] POS: (2.84, 0.62, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 1.00m | MAG: -0.07 | VIB: NO | ALC: 0.19
[2025-05-13T13:05:22.230442] POS: (2.93, 0.66, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 0.98m | MAG: 0.14 | VIB: NO | ALC: 0.10
[2025-05-13T13:05:22.730467] POS: (3.02, 0.70, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 0.98m | MAG: -0.20 | VIB: YES | ALC: 0.13
[2025-05-13T13:05:23.230519] POS: (3.11, 0.74, 22.9°) | VEL: linear=0.20, angular=0.00 | US: 1.05m | MAG: -0.04 | VIB: NO | ALC: 0.02
[2025-05-13T13:05:23.730476] POS: (3.19, 0.77, 25.8°) | VEL: linear=0.20, angular=0.00 | US: 1.02m | MAG: 0.16 | VIB: NO | ALC: 0.12
[2025-05-13T13:05:24.230485] POS: (3.26, 0.81, 28.6°) | VEL: linear=0.20, angular=0.00 | US: 0.98m | MAG: 0.01 | VIB: NO | ALC: 0.19
[2025-05-13T13:05:24.730625] POS: (3.31, 0.84, 34.4°) | VEL: linear=0.20, angular=0.00 | US: 0.99m | MAG: 0.20 | VIB: NO | ALC: 0.12
