RoboCar Sensor Log
Started at: 2025-05-13T17:34:03.322934
================================================================================
[2025-05-13T17:34:03.823070] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.05m | MAG: -0.17 | VIB: NO | ALC: 0.10
[2025-05-13T17:34:04.323031] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: 0.04 | VIB: NO | ALC: 0.15
[2025-05-13T17:34:04.823092] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: -0.13 | VIB: NO | ALC: 0.12
[2025-05-13T17:34:05.323106] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.06 | VIB: NO | ALC: 0.09
[2025-05-13T17:34:05.823053] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.00 | VIB: NO | ALC: 0.05
[2025-05-13T17:34:06.323091] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: -0.10 | VIB: NO | ALC: 0.18
[2025-05-13T17:34:06.823065] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: 0.15 | VIB: NO | ALC: 0.15
[2025-05-13T17:34:07.323076] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: 0.05 | VIB: NO | ALC: 0.09
[2025-05-13T17:34:07.823101] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: 0.10 | VIB: NO | ALC: 0.07
[2025-05-13T17:34:08.323570] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.45m | MAG: 0.09 | VIB: YES | ALC: 0.06
[2025-05-13T17:34:08.823178] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.31m | MAG: -0.14 | VIB: NO | ALC: 0.11
[2025-05-13T17:34:09.323249] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: 0.17 | VIB: NO | ALC: 0.13
[2025-05-13T17:34:09.823075] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.06 | VIB: NO | ALC: 0.11
[2025-05-13T17:34:10.323214] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.09 | VIB: NO | ALC: 0.14
[2025-05-13T17:34:10.823058] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.03 | VIB: NO | ALC: 0.14
