RoboCar Sensor Log
Started at: 2025-05-13T17:30:41.465693
================================================================================
[2025-05-13T17:30:41.965813] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.05m | MAG: 0.18 | VIB: NO | ALC: 0.13
[2025-05-13T17:30:42.465796] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: -0.06 | VIB: NO | ALC: 0.19
[2025-05-13T17:30:42.965874] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.12 | VIB: NO | ALC: 0.05
[2025-05-13T17:30:43.465794] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.05m | MAG: 0.15 | VIB: NO | ALC: 0.05
[2025-05-13T17:30:43.965800] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: 0.09 | VIB: NO | ALC: 0.06
[2025-05-13T17:30:44.465789] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: -0.15 | VIB: NO | ALC: 0.07
[2025-05-13T17:30:44.965823] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: -0.13 | VIB: NO | ALC: 0.01
[2025-05-13T17:30:45.466168] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.04 | VIB: NO | ALC: 0.02
[2025-05-13T17:30:45.965860] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: -0.19 | VIB: NO | ALC: 0.01
[2025-05-13T17:30:46.466079] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: 0.11 | VIB: NO | ALC: 0.08
[2025-05-13T17:30:46.965798] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.06 | VIB: NO | ALC: 0.18
[2025-05-13T17:30:47.465890] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: 0.02 | VIB: NO | ALC: 0.13
[2025-05-13T17:30:47.965829] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.19 | VIB: NO | ALC: 0.19
[2025-05-13T17:30:48.465930] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.14 | VIB: NO | ALC: 0.17
[2025-05-13T17:30:48.965852] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.10 | VIB: NO | ALC: 0.11
[2025-05-13T17:30:49.465900] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: 0.16 | VIB: YES | ALC: 0.19
[2025-05-13T17:30:49.965907] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: 0.03 | VIB: NO | ALC: 0.12
[2025-05-13T17:30:50.465791] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: 0.04 | VIB: NO | ALC: 0.01
[2025-05-13T17:30:50.965856] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.10 | VIB: NO | ALC: 0.04
[2025-05-13T17:30:51.465941] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.06 | VIB: NO | ALC: 0.13
[2025-05-13T17:30:51.965980] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: -0.01 | VIB: NO | ALC: 0.13
[2025-05-13T17:30:52.465861] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.03 | VIB: NO | ALC: 0.16
[2025-05-13T17:30:52.966041] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: -0.01 | VIB: NO | ALC: 0.04
[2025-05-13T17:30:53.465944] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.03 | VIB: NO | ALC: 0.11
[2025-05-13T17:30:53.965803] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.03 | VIB: NO | ALC: 0.15
[2025-05-13T17:30:54.465814] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.29m | MAG: 0.15 | VIB: NO | ALC: 0.12
[2025-05-13T17:30:54.965939] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.29m | MAG: -0.02 | VIB: NO | ALC: 0.07
