RoboCar Sensor Log
Started at: 2025-05-13T17:49:45.555911
================================================================================
[2025-05-13T17:49:46.056059] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: -0.07 | VIB: NO | ALC: 0.13
[2025-05-13T17:49:46.556057] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.49m | MAG: 0.19 | VIB: NO | ALC: 0.18
[2025-05-13T17:49:47.056320] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: 0.14 | VIB: NO | ALC: 0.10
[2025-05-13T17:49:47.556162] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.18 | VIB: NO | ALC: 0.13
[2025-05-13T17:49:48.056031] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: -0.08 | VIB: NO | ALC: 0.18
[2025-05-13T17:49:48.556071] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: 0.02 | VIB: NO | ALC: 0.18
[2025-05-13T17:49:49.056045] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: -0.19 | VIB: NO | ALC: 0.04
[2025-05-13T17:49:49.556174] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.02 | VIB: NO | ALC: 0.12
[2025-05-13T17:49:50.056073] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: -0.15 | VIB: NO | ALC: 0.11
[2025-05-13T17:49:50.556080] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.01 | VIB: NO | ALC: 0.15
[2025-05-13T17:49:51.056039] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: -0.20 | VIB: NO | ALC: 0.08
[2025-05-13T17:49:51.556198] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: 0.10 | VIB: NO | ALC: 0.19
[2025-05-13T17:49:52.056009] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.05 | VIB: NO | ALC: 0.05
[2025-05-13T17:49:52.556017] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.14 | VIB: NO | ALC: 0.18
[2025-05-13T17:49:53.056021] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.16 | VIB: NO | ALC: 0.10
[2025-05-13T17:49:53.556054] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.27m | MAG: 0.17 | VIB: YES | ALC: 0.07
[2025-05-13T17:49:54.056061] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.11 | VIB: NO | ALC: 0.10
[2025-05-13T17:49:54.556120] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: -0.18 | VIB: YES | ALC: 0.04
[2025-05-13T17:49:55.056068] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: -0.14 | VIB: NO | ALC: 0.09
[2025-05-13T17:49:55.556017] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: 0.00 | VIB: NO | ALC: 0.04
[2025-05-13T17:49:56.056013] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: 0.12 | VIB: NO | ALC: 0.16
[2025-05-13T17:49:56.556082] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: -0.17 | VIB: NO | ALC: 0.12
[2025-05-13T17:49:57.056088] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: 0.12 | VIB: YES | ALC: 0.17
[2025-05-13T17:49:57.556142] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: -0.18 | VIB: YES | ALC: 0.07
[2025-05-13T17:49:58.056027] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.11 | VIB: NO | ALC: 0.04
[2025-05-13T17:49:58.555993] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.05m | MAG: -0.17 | VIB: NO | ALC: 0.13
[2025-05-13T17:49:59.056032] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.29m | MAG: 0.18 | VIB: NO | ALC: 0.19
[2025-05-13T17:49:59.556064] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.03 | VIB: NO | ALC: 0.14
[2025-05-13T17:50:00.056003] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.18 | VIB: NO | ALC: 0.06
[2025-05-13T17:50:00.556010] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.37m | MAG: -0.13 | VIB: NO | ALC: 0.14
[2025-05-13T17:50:01.056001] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.19 | VIB: NO | ALC: 0.19
[2025-05-13T17:50:01.556004] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.95m | MAG: 0.06 | VIB: NO | ALC: 0.13
[2025-05-13T17:50:02.055999] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: 0.03 | VIB: YES | ALC: 0.15
[2025-05-13T17:50:02.556158] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: 0.03 | VIB: NO | ALC: 0.05
[2025-05-13T17:50:03.056093] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.32m | MAG: 0.13 | VIB: YES | ALC: 0.13
[2025-05-13T17:50:03.556377] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.95m | MAG: -0.12 | VIB: NO | ALC: 0.06
[2025-05-13T17:50:04.056084] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: -0.12 | VIB: NO | ALC: 0.10
[2025-05-13T17:50:04.556134] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.95m | MAG: -0.10 | VIB: NO | ALC: 0.07
[2025-05-13T17:50:05.056203] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: 0.19 | VIB: NO | ALC: 0.20
[2025-05-13T17:50:05.556074] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.03 | VIB: NO | ALC: 0.07
[2025-05-13T17:50:06.056021] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: 0.15 | VIB: NO | ALC: 0.19
[2025-05-13T17:50:06.556003] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: 0.10 | VIB: NO | ALC: 0.05
[2025-05-13T17:50:07.056002] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.17 | VIB: NO | ALC: 0.02
[2025-05-13T17:50:07.556170] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.18 | VIB: NO | ALC: 0.09
[2025-05-13T17:50:08.056022] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: -0.11 | VIB: NO | ALC: 0.18
[2025-05-13T17:50:08.556005] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.31m | MAG: -0.02 | VIB: NO | ALC: 0.03
[2025-05-13T17:50:09.056111] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.17 | VIB: NO | ALC: 0.12
[2025-05-13T17:50:09.556032] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: 0.04 | VIB: NO | ALC: 0.04
[2025-05-13T17:50:10.056084] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: -0.08 | VIB: NO | ALC: 0.15
[2025-05-13T17:50:10.556133] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.18 | VIB: NO | ALC: 0.12
[2025-05-13T17:50:11.056013] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.32m | MAG: 0.02 | VIB: NO | ALC: 0.17
[2025-05-13T17:50:11.556026] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: 0.15 | VIB: NO | ALC: 0.17
[2025-05-13T17:50:12.056040] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: 0.05 | VIB: NO | ALC: 0.01
[2025-05-13T17:50:12.556104] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.16 | VIB: NO | ALC: 0.16
[2025-05-13T17:50:13.056140] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.05m | MAG: 0.10 | VIB: NO | ALC: 0.01
[2025-05-13T17:50:13.556108] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: -0.03 | VIB: NO | ALC: 0.09
[2025-05-13T17:50:14.056009] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: 0.03 | VIB: NO | ALC: 0.09
[2025-05-13T17:50:14.556027] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: -0.17 | VIB: NO | ALC: 0.11
[2025-05-13T17:50:15.056138] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.33m | MAG: 0.04 | VIB: NO | ALC: 0.05
[2025-05-13T17:50:15.556048] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.17 | VIB: NO | ALC: 0.00
[2025-05-13T17:50:16.056033] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.28m | MAG: -0.14 | VIB: NO | ALC: 0.19
[2025-05-13T17:50:16.556004] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: -0.13 | VIB: NO | ALC: 0.00
[2025-05-13T17:50:17.056099] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: 0.08 | VIB: NO | ALC: 0.02
[2025-05-13T17:50:17.556027] POS: (6.22, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.13 | VIB: NO | ALC: 0.10
