RoboCar Sensor Log
Started at: 2025-05-13T17:47:59.536396
================================================================================
[2025-05-13T17:48:00.036562] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.35m | MAG: 0.01 | VIB: NO | ALC: 0.01
[2025-05-13T17:48:00.536554] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: 0.01 | VIB: NO | ALC: 0.20
[2025-05-13T17:48:01.036530] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.28m | MAG: 0.08 | VIB: NO | ALC: 0.19
[2025-05-13T17:48:01.536491] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: -0.10 | VIB: NO | ALC: 0.04
[2025-05-13T17:48:02.036597] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.21m | MAG: -0.03 | VIB: YES | ALC: 0.05
[2025-05-13T17:48:02.536530] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: -0.01 | VIB: NO | ALC: 0.19
[2025-05-13T17:48:03.036497] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: 0.11 | VIB: NO | ALC: 0.19
[2025-05-13T17:48:03.536561] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.09 | VIB: YES | ALC: 0.04
[2025-05-13T17:48:04.036586] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.20m | MAG: 0.14 | VIB: NO | ALC: 0.13
[2025-05-13T17:48:04.536557] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: 0.16 | VIB: NO | ALC: 0.19
[2025-05-13T17:48:05.036582] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: 0.15 | VIB: NO | ALC: 0.08
[2025-05-13T17:48:05.536529] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: -0.05 | VIB: NO | ALC: 0.01
[2025-05-13T17:48:06.036701] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.08 | VIB: YES | ALC: 0.08
[2025-05-13T17:48:06.536589] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.02 | VIB: NO | ALC: 0.09
[2025-05-13T17:48:07.036551] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: -0.18 | VIB: YES | ALC: 0.04
[2025-05-13T17:48:07.536588] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: -0.09 | VIB: NO | ALC: 0.05
[2025-05-13T17:48:08.036694] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.03 | VIB: NO | ALC: 0.17
[2025-05-13T17:48:08.536620] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: -0.08 | VIB: NO | ALC: 0.03
[2025-05-13T17:48:09.036583] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: -0.16 | VIB: NO | ALC: 0.07
[2025-05-13T17:48:09.536565] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.45m | MAG: 0.20 | VIB: NO | ALC: 0.15
[2025-05-13T17:48:10.036586] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: 0.02 | VIB: NO | ALC: 0.05
[2025-05-13T17:48:10.536578] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.08 | VIB: NO | ALC: 0.20
[2025-05-13T17:48:11.036596] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.36m | MAG: -0.17 | VIB: NO | ALC: 0.18
[2025-05-13T17:48:11.536571] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: -0.13 | VIB: NO | ALC: 0.03
[2025-05-13T17:48:12.036564] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: 0.18 | VIB: NO | ALC: 0.14
[2025-05-13T17:48:12.536557] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: 0.15 | VIB: NO | ALC: 0.08
[2025-05-13T17:48:13.036584] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: -0.00 | VIB: NO | ALC: 0.13
[2025-05-13T17:48:13.536579] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.09 | VIB: NO | ALC: 0.17
[2025-05-13T17:48:14.036609] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.25m | MAG: 0.02 | VIB: NO | ALC: 0.04
[2025-05-13T17:48:14.536853] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: 0.14 | VIB: YES | ALC: 0.10
[2025-05-13T17:48:15.036926] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: 0.01 | VIB: NO | ALC: 0.13
[2025-05-13T17:48:15.536679] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.40m | MAG: 0.18 | VIB: NO | ALC: 0.06
[2025-05-13T17:48:16.036571] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.14 | VIB: NO | ALC: 0.12
