RoboCar Sensor Log
Started at: 2025-05-13T15:50:04.151275
================================================================================
[2025-05-13T15:50:04.651593] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.11 | VIB: NO | ALC: 0.07
[2025-05-13T15:50:05.151472] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.02 | VIB: NO | ALC: 0.13
[2025-05-13T15:50:05.651539] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.35m | MAG: 0.20 | VIB: NO | ALC: 0.04
[2025-05-13T15:50:06.151455] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.34m | MAG: -0.17 | VIB: NO | ALC: 0.09
[2025-05-13T15:50:06.651721] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.95m | MAG: 0.10 | VIB: NO | ALC: 0.19
[2025-05-13T15:50:07.151539] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: 0.06 | VIB: NO | ALC: 0.07
[2025-05-13T15:50:07.651445] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: 0.00 | VIB: NO | ALC: 0.12
[2025-05-13T15:50:08.151491] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: -0.17 | VIB: NO | ALC: 0.02
[2025-05-13T15:50:08.651409] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.13 | VIB: YES | ALC: 0.03
[2025-05-13T15:50:09.151500] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: 0.19 | VIB: NO | ALC: 0.14
[2025-05-13T15:50:09.651916] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.07 | VIB: NO | ALC: 0.15
[2025-05-13T15:50:10.151554] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.02 | VIB: NO | ALC: 0.04
[2025-05-13T15:50:10.651826] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.10 | VIB: NO | ALC: 0.07
[2025-05-13T15:50:11.151692] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: 0.09 | VIB: YES | ALC: 0.07
[2025-05-13T15:50:11.651686] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.02 | VIB: NO | ALC: 0.07
[2025-05-13T15:50:12.151569] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.01 | VIB: NO | ALC: 0.14
[2025-05-13T15:50:12.651488] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.02 | VIB: NO | ALC: 0.15
[2025-05-13T15:50:13.151872] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: -0.09 | VIB: NO | ALC: 0.00
[2025-05-13T15:50:13.651590] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.08 | VIB: NO | ALC: 0.03
[2025-05-13T15:50:14.151807] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.35m | MAG: 0.13 | VIB: NO | ALC: 0.01
[2025-05-13T15:50:14.651483] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.39m | MAG: 0.13 | VIB: NO | ALC: 0.06
[2025-05-13T15:50:15.151956] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: 0.16 | VIB: NO | ALC: 0.05
[2025-05-13T15:50:15.651505] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: -0.05 | VIB: NO | ALC: 0.09
[2025-05-13T15:50:16.151819] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.22m | MAG: -0.15 | VIB: NO | ALC: 0.18
[2025-05-13T15:50:16.651459] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.38m | MAG: 0.09 | VIB: NO | ALC: 0.16
[2025-05-13T15:50:17.151575] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: -0.03 | VIB: NO | ALC: 0.07
[2025-05-13T15:50:17.651472] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.05 | VIB: NO | ALC: 0.07
[2025-05-13T15:50:18.151900] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: 0.10 | VIB: NO | ALC: 0.12
[2025-05-13T15:50:18.651696] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.32m | MAG: -0.17 | VIB: NO | ALC: 0.00
[2025-05-13T15:50:19.151553] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.01 | VIB: NO | ALC: 0.16
