RoboCar Sensor Log
Started at: 2025-05-13T17:35:06.716690
================================================================================
[2025-05-13T17:35:07.216857] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.32m | MAG: -0.12 | VIB: NO | ALC: 0.05
[2025-05-13T17:35:07.716833] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.08 | VIB: NO | ALC: 0.11
[2025-05-13T17:35:08.216847] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: -0.10 | VIB: NO | ALC: 0.01
[2025-05-13T17:35:08.716774] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: 0.09 | VIB: NO | ALC: 0.06
[2025-05-13T17:35:09.216830] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.20 | VIB: NO | ALC: 0.10
[2025-05-13T17:35:09.716883] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.35m | MAG: -0.15 | VIB: NO | ALC: 0.11
[2025-05-13T17:35:10.216856] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.14 | VIB: NO | ALC: 0.01
[2025-05-13T17:35:10.716905] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.11 | VIB: NO | ALC: 0.02
[2025-05-13T17:35:11.216859] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.10 | VIB: NO | ALC: 0.07
[2025-05-13T17:35:11.716874] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.38m | MAG: 0.15 | VIB: NO | ALC: 0.17
[2025-05-13T17:35:12.217095] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.04 | VIB: NO | ALC: 0.15
[2025-05-13T17:35:12.716897] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: -0.08 | VIB: NO | ALC: 0.06
