RoboCar Sensor Log
Started at: 2025-05-13T17:28:37.420747
================================================================================
[2025-05-13T17:28:37.920818] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.32m | MAG: 0.19 | VIB: NO | ALC: 0.00
[2025-05-13T17:28:38.421532] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: -0.13 | VIB: NO | ALC: 0.08
[2025-05-13T17:28:38.920782] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.02 | VIB: NO | ALC: 0.19
[2025-05-13T17:28:39.420778] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.05m | MAG: -0.12 | VIB: NO | ALC: 0.08
[2025-05-13T17:28:39.920931] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: 0.04 | VIB: NO | ALC: 0.08
[2025-05-13T17:28:40.420865] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.05 | VIB: NO | ALC: 0.15
[2025-05-13T17:28:40.920794] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: 0.05 | VIB: NO | ALC: 0.04
[2025-05-13T17:28:41.420794] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: -0.17 | VIB: NO | ALC: 0.01
[2025-05-13T17:28:41.920832] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.05m | MAG: 0.14 | VIB: NO | ALC: 0.18
[2025-05-13T17:28:42.420900] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: 0.09 | VIB: NO | ALC: 0.03
[2025-05-13T17:28:42.920799] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.41m | MAG: 0.00 | VIB: YES | ALC: 0.12
[2025-05-13T17:28:43.420916] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.16 | VIB: NO | ALC: 0.13
[2025-05-13T17:28:43.920887] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.03 | VIB: YES | ALC: 0.03
[2025-05-13T17:28:44.420797] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.03m | MAG: -0.10 | VIB: NO | ALC: 0.03
[2025-05-13T17:28:44.921266] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.41m | MAG: -0.08 | VIB: NO | ALC: 0.19
[2025-05-13T17:28:45.421542] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: 0.06 | VIB: NO | ALC: 0.17
[2025-05-13T17:28:45.920807] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.48m | MAG: 0.07 | VIB: NO | ALC: 0.11
[2025-05-13T17:28:46.421203] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.17 | VIB: NO | ALC: 0.15
[2025-05-13T17:28:46.921647] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.00m | MAG: -0.07 | VIB: NO | ALC: 0.18
[2025-05-13T17:28:47.421103] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.34m | MAG: 0.19 | VIB: NO | ALC: 0.14
[2025-05-13T17:28:47.921270] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: 0.20 | VIB: NO | ALC: 0.20
[2025-05-13T17:28:48.420909] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.98m | MAG: -0.16 | VIB: NO | ALC: 0.06
[2025-05-13T17:28:48.921228] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.01m | MAG: -0.10 | VIB: YES | ALC: 0.19
[2025-05-13T17:28:49.420946] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.02m | MAG: -0.01 | VIB: NO | ALC: 0.08
[2025-05-13T17:28:49.920951] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.97m | MAG: 0.18 | VIB: NO | ALC: 0.12
[2025-05-13T17:28:50.421075] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.06 | VIB: NO | ALC: 0.12
[2025-05-13T17:28:50.921128] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 1.04m | MAG: -0.15 | VIB: NO | ALC: 0.16
[2025-05-13T17:28:51.420989] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.96m | MAG: 0.11 | VIB: NO | ALC: 0.08
[2025-05-13T17:28:51.920961] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.25m | MAG: 0.11 | VIB: NO | ALC: 0.17
